,년도,시도,시군구,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,include,노인보호구역,include2,전통시장
2397,2013,대전광역시,서구,36.353617,127.368443,대전광역시 서구 갈마동 갈마네거리 ,3,3,1,1,1,0,0,0,0,0
2398,2013,대전광역시,서구,36.3447902,127.3808872,대전광역시 서구 탄방동 국민연금관리공단대전지사 ,3,3,0,2,1,0,0,0,0,0
2399,2013,대전광역시,서구,36.3296144,127.3819797,대전광역시 서구 변동 번동오거리 ,3,3,0,1,2,0,0,0,0,0
2400,2013,대전광역시,유성구,36.400406200000006,127.40290520000002,대전광역시 유성구 전민동 세종아파트 ,4,4,0,3,1,0,1,대전광역시 유성구 전민로 18번길 22,0,0
2401,2013,대전광역시,대덕구,36.3523571,127.441875,대전광역시 대덕구 비래동 대덕구견인차량보관소 ,3,3,1,2,0,0,0,0,0,0
2402,2014,대전광역시,동구,36.333522200000004,127.4313572,대전광역시 동구 중동 신세계종합화장품 ,8,8,0,6,2,0,0,0,0,0
2403,2014,대전광역시,동구,36.353690500000006,127.4526517,대전광역시 동구 가양동 그린빌라 ,5,6,0,4,2,0,1,대전광역시 대덕구 비래서로61번길 35,0,0
2404,2014,대전광역시,동구,36.3294155,127.4429588,대전광역시 동구 대동 대동오거리 ,3,3,2,1,0,0,0,0,0,0
2405,2014,대전광역시,동구,36.32116679999999,127.4598463,대전광역시 동구 판암동 판암4차주공아파트 ,3,3,0,2,0,1,0,0,0,0
2406,2014,대전광역시,중구,36.318056,127.39666100000001,대전광역시 중구 유천동 유천예식장네거리 ,5,5,1,3,1,0,0,0,1,대전 중구 문화로 105번길 113
2407,2014,대전광역시,중구,36.3430219,127.4111913,대전광역시 중구 중촌동 투가리해장국 ,5,6,0,4,2,0,1,대전광역시 중구 중촌동 423-2,0,0
2408,2014,대전광역시,중구,36.3224158,127.4125453,대전광역시 중구 문화동 서대전네거리 ,4,4,0,3,1,0,0,0,1,대전 중구 계룡로874번길 12
2409,2014,대전광역시,중구,36.323721500000005,127.42726609999998,대전광역시 중구 대흥동 맛나치킨 ,3,3,2,0,1,0,0,0,0,0
2410,2014,대전광역시,중구,36.2986716,127.3848303,대전광역시 중구 사정동 유정주택 ,3,3,0,2,1,0,0,0,0,0
2411,2014,대전광역시,서구,36.3338581,127.3718267,대전광역시 서구 내동 안골네거리 ,3,3,1,0,2,0,0,0,0,0
2412,2014,대전광역시,서구,36.3296144,127.3819797,대전광역시 서구 변동 번동오거리 ,3,3,0,3,0,0,0,0,0,0
2413,2014,대전광역시,유성구,36.3584101,127.33705149999999,대전광역시 유성구 장대동 갤러리빌 ,4,4,0,1,3,0,0,0,1,대전 유성구 유성대로 730번길 24
2414,2014,대전광역시,유성구,36.32937570000001,127.4199607,대전광역시 유성구 봉명동 은성다방 ,3,3,0,2,1,0,1,대전광역시 중구 선화동 407-1,0,0
2415,2014,대전광역시,대덕구,36.3578001,127.40599840000002,대전광역시 대덕구 오정동 오정사거리 ,3,3,0,2,0,1,0,0,0,0
