년도,시도,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2010,부산광역시 사하구3,35.0561783,128.9720435,부산광역시 사하구 다대동 영동비치타워 ,3 ,3 ,1 ,2 ,0 ,0 
2010,부산광역시 사하구4,35.095849,128.993724,부산광역시 사하구 괴정동 괴정교차로 ,4 ,4 ,0 ,3 ,1 ,0 
2010,부산광역시 금정구1,35.283594,129.094817,부산광역시 금정구 노포동 노포동지하철역 ,3 ,3 ,1 ,1 ,1 ,0 
2010,부산광역시 금정구2,35.2412141,129.0826114,부산광역시 금정구 부곡동 장전교동단 ,4 ,4 ,0 ,3 ,1 ,0 
2010,부산광역시 금정구3,35.2146815,129.1056163,부산광역시 금정구 서동 부산은행동상동지점 ,4 ,4 ,0 ,4 ,0 ,0 
2010,부산광역시 금정구4,35.257062,129.091406,부산광역시 금정구 구서동 두실지하철역 ,5 ,5 ,0 ,5 ,0 ,0 
2010,부산광역시 금정구5,35.2384923,129.0871111,부산광역시 금정구 장전동 금정천주교회 ,5 ,5 ,1 ,3 ,0 ,1 
2010,부산광역시 연제구1,35.184965,129.0826424,부산광역시 연제구 거제동 신흥상가빌라 ,4 ,4 ,0 ,3 ,1 ,0 
2010,부산광역시 연제구2,35.1860817,129.0816963,부산광역시 연제구 연산동 연산교차로 ,4 ,4 ,0 ,3 ,1 ,0 
2010,부산광역시 수영구1,35.1686244,129.1172535,부산광역시 수영구 수영동 마이다스관광호텔 ,4 ,4 ,0 ,2 ,2 ,0 
2010,부산광역시 수영구2,35.157929,129.11317,부산광역시 수영구 광안동 광안사거리 ,4 ,4 ,0 ,4 ,0 ,0 
2010,부산광역시 수영구3,35.168045,129.117019,부산광역시 수영구 수영동 수영교차로 ,5 ,5 ,0 ,2 ,2 ,1 
2010,부산광역시 사상구1,35.139419,128.989678,부산광역시 사상구 학장동 학장벽산아파트 ,3 ,4 ,0 ,2 ,2 ,0 
2010,부산광역시 사상구2,35.155889,128.9834563,부산광역시 사상구 감전동 김교진비뇨기과 ,3 ,3 ,0 ,3 ,0 ,0 
2010,대구광역시 중구1,35.8673255,128.5973882,대구광역시 중구 태평로1가 현대데이터시스템 주 ,2 ,7 ,2 ,5 ,0 ,0 
2010,대구광역시 중구2,35.856354,128.5828635,대구광역시 중구 남산동 계명네거리 ,3 ,3 ,0 ,1 ,2 ,0 
2010,대구광역시 중구3,35.8614927,128.6088609,대구광역시 중구 대봉동 수성교네거리 ,3 ,3 ,1 ,1 ,1 ,0 
2010,대구광역시 중구4,35.8704356,128.5792801,대구광역시 중구 대신동 큰장네거리 ,4 ,4 ,0 ,2 ,2 ,0 
2010,대구광역시 중구5,35.8664416,128.5986186,대구광역시 중구 삼덕동1가 삼덕네거리 ,4 ,5 ,0 ,2 ,3 ,0 
2010,대구광역시 중구6,35.8684913,128.578058,대구광역시 중구 대신동 큰장삼거리 ,4 ,4 ,1 ,3 ,0 ,0 
2010,대구광역시 동구1,35.8847125,128.6273585,대구광역시 동구 신암동 큰고개고가차도북단 ,4 ,4 ,0 ,3 ,1 ,0 
2010,대구광역시 동구2,35.866716,128.7017131,대구광역시 동구 신기동 안심주공네거리 ,4 ,4 ,0 ,3 ,1 ,0 
2010,대구광역시 동구3,35.881797,128.619845,대구광역시 동구 신암동 궁전예식장 ,5 ,5 ,0 ,4 ,1 ,0 
2010,대구광역시 서구1,35.8715186,128.5681978,대구광역시 서구 비산동 달서교회 ,3 ,3 ,0 ,2 ,1 ,0 
